,listing_id,monthname,price
623,1312301,September,83.26666666666667
624,1325364,April,50.3
625,1325364,August,51.064516129032256
626,1325364,December,50.0
627,1325364,February,50.0
628,1325364,January,50.0
629,1325364,July,51.903225806451616
630,1325364,June,50.2
631,1325364,March,50.064516129032256
632,1325364,May,50.29032258064516
633,1325364,November,50.0
634,1325364,October,50.0
635,1325364,September,50.86666666666667
636,1392363,April,144.23333333333332
637,1392363,August,140.51612903225808
638,1392363,December,147.5483870967742
639,1392363,February,132.21428571428572
640,1392363,January,135.93548387096774
641,1392363,July,154.0
642,1392363,June,138.4
643,1392363,March,134.16129032258064
644,1392363,May,147.8709677419355
645,1392363,November,148.16666666666666
646,1392363,October,164.8709677419355
647,1392363,September,143.36666666666667
648,1393012,April,80.0
649,1393012,August,80.0
650,1393012,December,80.0
651,1393012,February,80.0
652,1393012,January,80.0
653,1393012,July,80.0
654,1393012,June,80.0
655,1393012,March,80.0
656,1393012,May,80.0
657,1393012,November,80.0
658,1393012,October,80.0
659,1393012,September,80.0
660,1421061,April,123.5
661,1421061,August,123.54838709677419
662,1421061,December,123.70967741935483
663,1421061,February,123.57142857142857
664,1421061,January,123.38709677419355
665,1421061,July,123.54838709677419
666,1421061,June,123.66666666666667
667,1421061,March,123.70967741935483
668,1421061,May,123.54838709677419
669,1421061,November,123.66666666666667
670,1421061,October,123.38709677419355
671,1421061,September,123.66666666666667
672,1475299,April,152.0
673,1475299,August,152.0
674,1475299,December,269.0
675,1475299,February,152.0
676,1475299,January,152.0
677,1475299,July,152.0
678,1475299,June,147.03333333333333
679,1475299,March,152.0
680,1475299,May,152.0
681,1475299,November,269.0
682,1475299,October,289.0
683,1475299,September,289.0
684,1497710,April,125.0
685,1497710,August,125.0
686,1497710,December,125.0
687,1497710,February,125.0
688,1497710,January,125.0
689,1497710,July,125.0
690,1497710,June,125.0
691,1497710,March,125.0
692,1497710,May,125.0
693,1497710,November,125.0
694,1497710,October,125.0
695,1497710,September,125.0
696,1563004,April,85.0
697,1563004,August,85.0
698,1563004,December,85.0
699,1563004,February,85.0
700,1563004,January,85.0
701,1563004,July,85.0
702,1563004,June,85.0
703,1563004,March,85.0
704,1563004,May,85.0
705,1563004,November,85.0
706,1563004,October,85.0
707,1563004,September,85.0
708,1569954,April,70.0
709,1569954,August,70.0
710,1569954,December,70.0
711,1569954,February,70.0
712,1569954,January,70.0
713,1569954,July,70.0
714,1569954,June,70.0
715,1569954,March,70.0
716,1569954,May,70.0
717,1569954,November,70.0
718,1569954,October,70.0
719,1569954,September,70.0
720,1571095,April,79.0
721,1571095,August,79.0
722,1571095,December,79.0
723,1571095,February,79.0
724,1571095,January,79.0
725,1571095,July,79.0
726,1571095,June,79.0
727,1571095,March,79.0
728,1571095,May,79.0
729,1571095,November,79.0
730,1571095,October,79.0
731,1571095,September,79.0
732,1574329,April,139.5
733,1574329,August,139.3548387096774
734,1574329,December,138.8709677419355
735,1574329,February,139.28571428571428
736,1574329,January,139.83870967741936
737,1574329,July,139.3548387096774
738,1574329,June,139.0
739,1574329,March,138.8709677419355
740,1574329,May,139.3548387096774
741,1574329,November,139.0
742,1574329,October,139.83870967741936
743,1574329,September,139.0
744,1577750,April,57.5
745,1577750,August,57.064516129032256
746,1577750,December,55.61290322580645
747,1577750,February,56.857142857142854
748,1577750,January,58.516129032258064
749,1577750,July,57.064516129032256
750,1577750,June,56.0
751,1577750,March,55.61290322580645
752,1577750,May,57.064516129032256
753,1577750,November,56.0
754,1577750,October,58.516129032258064
755,1577750,September,56.0
756,1578831,April,90.3
757,1578831,August,79.06451612903226
758,1578831,December,90.25806451612904
759,1578831,February,90.28571428571429
760,1578831,January,90.3225806451613
761,1578831,July,79.0
762,1578831,June,80.1
763,1578831,March,90.25806451612904
764,1578831,May,90.29032258064517
765,1578831,November,80.73333333333333
766,1578831,October,79.0
767,1578831,September,79.7
768,1586906,April,81.5
769,1586906,August,81.45161290322581
770,1586906,December,81.29032258064517
771,1586906,February,81.42857142857143
772,1586906,January,81.61290322580645
773,1586906,July,81.45161290322581
774,1586906,June,81.33333333333333
775,1586906,March,81.29032258064517
776,1586906,May,81.45161290322581
777,1586906,November,81.33333333333333
778,1586906,October,81.61290322580645
779,1586906,September,81.33333333333333
780,1684109,April,290.0
781,1684109,August,325.0
782,1684109,December,325.0
783,1684109,February,289.2857142857143
784,1684109,January,292.741935483871
785,1684109,July,321.1290322580645
786,1684109,June,304.1666666666667
