,host_since
1394,2013-09-23
1395,2014-06-04
1396,2018-08-30
1397,2017-09-07
1398,2017-08-31
1399,2018-09-14
1400,2016-09-06
1401,2017-09-19
1402,2016-07-11
1403,2014-11-13
1404,2018-09-17
1405,2016-08-14
1406,2015-11-10
1407,2014-10-25
1408,2014-07-13
1409,2018-09-20
1410,2016-03-09
1411,2014-06-27
1412,2012-12-15
1413,2014-07-26
1414,2018-09-24
1415,2013-10-09
1416,2018-09-24
1417,2016-05-15
1418,2013-10-09
1419,2014-03-26
1420,2013-10-09
1421,2015-05-11
1422,2015-01-24
1423,2018-09-27
1424,2018-09-18
1425,2012-11-23
1426,2017-03-30
1427,2017-04-06
1428,2018-10-01
1429,2015-03-21
1430,2018-03-01
1431,2017-12-04
1432,2017-11-21
1433,2013-06-19
1434,2018-10-04
1435,2018-10-05
1436,2012-11-14
1437,2015-05-28
1438,2015-02-17
1439,2013-01-30
1440,2018-10-09
1441,2016-11-01
1442,2018-04-30
1443,2016-11-01
1444,2017-06-13
1445,2017-06-13
1446,2017-06-13
1447,2018-04-29
1448,2015-07-10
1449,2017-06-13
1450,2017-06-13
1451,2016-02-12
1452,2017-06-13
1453,2013-01-03
1454,2017-08-11
1455,2018-10-13
1456,2017-06-13
1457,2018-09-18
1458,2017-06-13
1459,2018-05-03
1460,2015-03-18
1461,2017-06-13
1462,2017-06-13
1463,2013-12-13
1464,2018-10-22
1465,2018-06-22
1466,2015-01-12
1467,2018-05-16
1468,2017-06-13
1469,2017-10-29
1470,2014-12-08
1471,2012-03-13
1472,2015-01-18
1473,2010-07-15
1474,2016-04-28
1475,2016-06-03
1476,2013-08-27
1477,2015-01-24
1478,2017-06-13
1479,2014-08-23
1480,2013-12-15
1481,2010-09-18
1482,2016-12-22
1483,2013-08-29
1484,2016-02-17
1485,2017-06-13
1486,2017-06-13
1487,2018-03-06
1488,2018-03-06
1489,2018-03-06
1490,2018-11-08
1491,2015-08-14
1492,2016-04-19
1493,2012-02-28
1494,2013-10-16
1495,2016-02-10
1496,2013-02-23
